,date,open,close,high,low,volume,code
592,2020-06-11,1331.107,1320.557,1338.087,1317.087,30712.0,600519
593,2020-06-12,1307.267,1336.467,1336.467,1303.407,28427.0,600519
594,2020-06-15,1322.097,1303.097,1331.697,1301.097,34615.0,600519
595,2020-06-16,1318.597,1323.977,1334.097,1313.227,29207.0,600519
596,2020-06-17,1331.957,1325.097,1331.997,1315.117,19453.0,600519
597,2020-06-18,1324.997,1333.097,1333.297,1320.197,21010.0,600519
598,2020-06-19,1340.097,1359.937,1365.297,1335.197,38958.0,600519
599,2020-06-22,1355.197,1359.097,1363.987,1353.297,23247.0,600519
600,2020-06-23,1355.097,1394.597,1402.097,1353.617,33934.0,600519
601,2020-06-24,1400.722,1397.132,1402.832,1382.122,25139.0,600519
602,2020-06-29,1385.122,1400.292,1403.122,1374.132,28081.0,600519
603,2020-06-30,1400.242,1400.002,1406.102,1392.242,22446.0,600519
604,2020-07-01,1405.122,1431.392,1443.222,1401.142,38682.0,600519
605,2020-07-02,1436.122,1481.122,1488.022,1432.122,45884.0,600519
606,2020-07-03,1487.122,1478.912,1489.622,1454.002,35126.0,600519
607,2020-07-06,1475.122,1537.122,1553.122,1468.932,51822.0,600519
608,2020-07-07,1540.212,1625.122,1681.942,1538.122,66664.0,600519
609,2020-07-08,1617.122,1618.462,1656.122,1597.122,53170.0,600519
610,2020-07-09,1628.122,1643.122,1649.122,1619.122,35033.0,600519
611,2020-07-10,1626.122,1650.972,1673.722,1626.062,37100.0,600519
612,2020-07-13,1651.802,1719.112,1724.122,1651.802,60727.0,600519
613,2020-07-14,1719.112,1699.122,1719.152,1685.522,46094.0,600519
614,2020-07-15,1682.002,1689.652,1719.722,1681.832,40713.0,600519
615,2020-07-16,1667.032,1551.122,1667.032,1537.122,102242.0,600519
616,2020-07-17,1557.122,1585.172,1609.712,1557.122,65902.0,600519
617,2020-07-20,1589.622,1574.082,1601.112,1526.002,45280.0,600519
618,2020-07-21,1583.762,1605.122,1639.922,1568.112,41970.0,600519
619,2020-07-22,1595.122,1615.202,1647.122,1595.122,39201.0,600519
620,2020-07-23,1609.122,1613.122,1628.122,1587.122,34321.0,600519
621,2020-07-24,1591.972,1532.422,1603.122,1522.122,78752.0,600519
622,2020-07-27,1553.132,1559.672,1566.922,1537.122,38788.0,600519
623,2020-07-28,1567.122,1607.122,1617.122,1567.122,54912.0,600519
624,2020-07-29,1627.122,1609.122,1627.122,1570.122,50748.0,600519
625,2020-07-30,1608.322,1617.122,1637.712,1607.622,38373.0,600519
626,2020-07-31,1622.122,1615.302,1642.122,1583.122,40685.0,600519
627,2020-08-03,1624.002,1605.122,1633.702,1597.122,34661.0,600519
628,2020-08-04,1612.122,1607.112,1620.112,1597.122,31941.0,600519
629,2020-08-05,1599.212,1605.122,1610.212,1580.432,25522.0,600519
630,2020-08-06,1607.122,1575.082,1611.152,1567.122,32649.0,600519
631,2020-08-07,1581.892,1568.122,1586.792,1535.622,34242.0,600519
632,2020-08-10,1565.092,1571.112,1582.082,1545.232,23624.0,600519
633,2020-08-11,1577.122,1579.632,1603.552,1577.122,35818.0,600519
634,2020-08-12,1570.122,1564.072,1578.122,1542.372,27934.0,600519
635,2020-08-13,1567.122,1572.122,1576.002,1546.122,20541.0,600519
636,2020-08-14,1577.022,1598.122,1602.822,1568.122,37653.0,600519
637,2020-08-17,1611.122,1627.122,1641.472,1607.122,43572.0,600519
638,2020-08-18,1634.502,1642.122,1657.122,1628.122,30423.0,600519
639,2020-08-19,1637.122,1624.122,1654.122,1620.112,26915.0,600519
640,2020-08-20,1611.122,1601.122,1616.122,1593.122,22382.0,600519
641,2020-08-21,1610.122,1613.122,1635.122,1608.122,25082.0,600519
642,2020-08-24,1637.122,1633.472,1645.122,1628.132,30933.0,600519
643,2020-08-25,1641.922,1664.122,1683.902,1635.752,41872.0,600519
644,2020-08-26,1671.122,1664.122,1682.122,1652.142,26216.0,600519
645,2020-08-27,1669.112,1668.122,1671.102,1642.122,22636.0,600519
646,2020-08-28,1668.122,1694.122,1701.122,1658.622,42300.0,600519
647,2020-08-31,1707.702,1723.622,1753.122,1707.702,47810.0,600519
648,2020-09-01,1729.122,1739.102,1739.122,1712.132,31640.0,600519
649,2020-09-02,1762.122,1732.122,1765.122,1707.122,32009.0,600519
650,2020-09-03,1732.122,1730.122,1749.122,1716.822,30437.0,600519
651,2020-09-04,1703.122,1707.122,1714.112,1683.122,30858.0,600519
652,2020-09-07,1697.122,1660.622,1715.112,1641.092,31112.0,600519
653,2020-09-08,1669.122,1648.522,1674.922,1614.192,34472.0,600519
654,2020-09-09,1636.792,1625.122,1648.122,1617.162,25964.0,600519
655,2020-09-10,1640.862,1642.922,1657.122,1637.122,24778.0,600519
656,2020-09-11,1625.122,1670.122,1673.122,1625.122,31088.0,600519
657,2020-09-14,1682.122,1703.122,1706.122,1667.702,31056.0,600519
658,2020-09-15,1707.112,1697.122,1707.112,1684.872,20821.0,600519
659,2020-09-16,1697.122,1662.222,1701.932,1656.122,22516.0,600519
660,2020-09-17,1637.122,1607.642,1637.122,1595.122,63680.0,600519
661,2020-09-18,1602.122,1632.122,1632.122,1572.132,47201.0,600519
662,2020-09-21,1629.882,1603.922,1629.882,1603.782,22444.0,600519
663,2020-09-22,1587.122,1602.812,1624.102,1587.122,23265.0,600519
664,2020-09-23,1572.122,1587.102,1603.132,1558.142,35726.0,600519
665,2020-09-24,1573.092,1566.442,1596.002,1563.922,30051.0,600519
666,2020-09-25,1567.122,1572.232,1587.122,1562.122,22583.0,600519
667,2020-09-28,1572.312,1598.122,1605.622,1572.312,24232.0,600519
668,2020-09-29,1606.452,1589.422,1606.522,1589.422,17431.0,600519
669,2020-09-30,1597.122,1605.622,1629.022,1597.122,27088.0,600519
670,2020-10-09,1629.122,1633.122,1643.542,1625.122,34240.0,600519
671,2020-10-12,1637.122,1687.732,1687.732,1637.122,43729.0,600519
672,2020-10-13,1687.742,1676.122,1687.742,1672.122,22944.0,600519
673,2020-10-14,1677.122,1666.122,1684.102,1663.122,20481.0,600519
674,2020-10-15,1658.252,1662.122,1672.122,1658.122,16204.0,600519
675,2020-10-16,1662.122,1649.122,1671.702,1640.122,17377.0,600519
676,2020-10-19,1662.122,1636.122,1671.102,1629.022,19226.0,600519
677,2020-10-20,1637.112,1671.122,1672.092,1632.122,27735.0,600519
678,2020-10-21,1671.222,1670.452,1679.272,1660.122,18901.0,600519
679,2020-10-22,1667.122,1679.622,1682.122,1652.632,22481.0,600519
680,2020-10-23,1677.902,1652.452,1684.712,1651.122,19292.0,600519
